(Update 2022/04/08) 名称 Name (auto)	Name (auto)	登場回数 Appearance (auto)	登場日 Date of appearance (auto)	登場日UUID UUID of appearance (auto)	国籍 Nationality (auto)	Nationality (auto)
ドナルド・ジョン・トランプ	Donald John Trump	4	2017/03/17 2019/05/04 2021/09/20 2021/12/06	b99c493a-3a52-ad82-6c10-39285d9bb0b4 7315516b-a98b-61ae-4f56-4f6601edc402 59bde0fd-93fe-f931-2dd6-39ffd815b0c5 7c5f3cfb-563e-514a-0bbe-e6c8a6d96fcb	アメリカ合衆国	United States of America
加藤純一	Junichi Kato (YouTuber)	3	2020/08/17 2021/01/16 2022/03/12	e27bc0d1-0008-748c-d2f4-d09671307c9a f8f533fd-4afa-70a3-eab0-299925ec5e89 baed71d7-4e87-a81d-bd8d-5c784bdc7765	日本国	Japan
金正恩	Kim Jong-un	3	2019/05/04 2020/10/11 2021/02/07	7315516b-a98b-61ae-4f56-4f6601edc402 ee6ffe55-0de2-4e82-6844-c3b37e6fe101 b012a404-a24c-1f22-cfeb-b5228256d86a	朝鮮民主主義人民共和国	Democratic People's Republic of Korea
石﨑絢子 (イモトアヤコ)	Ayako Ishizaki (Ayako Imoto)	3	2020/12/11 2021/01/30 2021/10/10	1e444cf0-1279-b2ff-a3a9-c1c0bafe9919 2868fc3b-81bf-f368-36f1-95c6e885c1b3 c63a50b8-0066-eee0-24e0-f6ed49795df3	日本国	Japan
桜井政博	Masahiro Sakurai	3	2021/09/10 2021/10/18 2021/10/28	318cfc55-e329-b9dc-796c-f349e29044b9 8474e0af-d46e-235f-fdb3-7d4caf8a2dcd bf8b0114-4406-29a1-012b-cbd51bb002c2	日本国	Japan
伊沢拓司	Takushi Izawa (YouTuber)	3	2020/10/15 2021/02/17 2021/02/25	0156c113-adf2-28db-32c2-f09baf97c5b1 1b8d9956-3716-2607-f476-2508cd36cf7c 25114e10-1530-16e3-7c39-ce4adaba2e28	日本国	Japan
習近平	Xi Jinping	2	2018/10/01 2022/04/01	d3fc42cb-450b-8f30-4305-17e9e9a1c865 bf31e0a2-4a67-518d-15eb-d89eeecb53c3	中華人民共和国	People's Republic of China
橋下徹	Toru Hashimoto	2	2020/08/18 2022/02/14	d332d3f4-43aa-d185-a870-8c6d11413292 bbef771b-8c4f-3a0b-a304-b9b5c29d325c	日本国	Japan
マツコ・デラックス	Matsuko Deluxe	2	2020/04/08 2021/10/28	388430ae-44f6-04f6-4002-e48a2e89f055 739768df-3e94-600f-3561-0431fca0d00f	日本国	Japan
松丸大吾 (メンタリストDaiGo)	Daigo Matsumaru (Mentalist DaiGo)	2	2020/04/24 2021/08/23	17ba9690-1832-e939-83bb-3fd26da4e4f4 c468182c-a9ac-a679-e266-961e1ef32fc5	日本国	Japan
中田敦彦 (オリエンタルラジオ)	Atsuhiko Nakada (ORIENTAL RADIO)	2	2020/11/27 2022/01/21	3c792893-4679-bb81-eed8-6f40ddf5e55c 37f8752c-f34d-7539-9a5e-5e224d90bfe5	日本国	Japan
田中卓志 (アンガールズ)	Takushi Tanaka	2	2021/05/27 2021/10/28	475e3eb7-13c9-d917-b48b-a6ee43561be8 739768df-3e94-600f-3561-0431fca0d00f	日本国	Japan
安倍晋三	Shinzo Abe	1	2020/08/18	d332d3f4-43aa-d185-a870-8c6d11413292	日本国	Japan
渡辺直美	Naomi Watanabe	1	2020/05/10	16829d7e-d753-b873-3f47-93244ace8f55	日本国	Japan
江田元 (はじめしゃちょー)	Hajime Eda (YouTuber)	1	2020/10/12	eb5d4932-a857-c255-0e61-5a0df32ee1f4	日本国	Japan
山口智充	Tomomitsu Yamaguchi	1	2019/03/23	a6c0d778-163c-12f3-dbbf-bd732629b20a	日本国	Japan
白石麻衣	Mai Shiraishi	1	2019/02/14	32d7e33e-e501-aba9-7070-14f993472147	日本国	Japan
キヨ (ゲーム実況者)	Kiyo (YouTuber)	1	2016/08/18	a3d4bf08-12fe-5321-455d-cbdb7e8cd649	日本国	Japan
愛子内親王	Princess Aiko	1	2017/01/15	b3681986-bc53-e331-3284-a6f69cdca712	日本国	Japan
ダニエル・ジェイコブ・ラドクリフ	Daniel Jacob Radcliffe	1	2018/06/19	20f68b03-c8ca-3815-b531-f843f585b42b	グレートブリテン及び北アイルランド連合王国	United Kingdom of Great Britain and Northern Ireland
大坂なおみ	Naomi Osaka	1	2018/10/13	85a56178-8219-f2f2-158a-82f3790ce8a3	日本国	Japan
升野英知 (バカリズム)	Hidetomo Masuno (Bakarhythm)	1	2018/11/04	e05b0b47-6e2c-1f2a-7ced-a66ee24c6f3a	日本国	Japan
出川哲朗	Tetsurō Degawa	1	2020/11/02	9e002273-8b51-87cd-1d68-4b96f85e83a2	日本国	Japan
ライバロリ (ゲーム実況者)	Raibarori (YouTuber)	1	2020/12/13	a24bdbde-a54d-a717-239c-5f9f55752685	日本国	Japan
菅義偉	Yoshihide Suga	1	2020/12/10	8db7425e-9943-3a55-64b1-2104bb0136e6	日本国	Japan
水谷豊	Yutaka Mizutani	1	2021/01/23	444b39b2-1032-cc38-3063-70c5d78511f3	日本国	Japan
新垣結衣	Yui Aragaki	1	2021/09/21	4c188cca-7977-0c97-4531-10891643c102	日本国	Japan
宮崎駿	Hayao Miyazaki	1	2021/09/14	5e0ff38e-7114-6161-c5e3-73c05e522dd5	日本国	Japan
ジョセフ・ロビネット・バイデン・ジュニア	Joseph Robinette Biden Jr.	1	2021/12/06	7c5f3cfb-563e-514a-0bbe-e6c8a6d96fcb	アメリカ合衆国	United States of America
西村博之	Hiroyuki Nishimura	1	2021/12/03	b5d9f11a-a4ea-f41d-cd25-221d1fe79729	日本国	Japan
小暮隆 (デーモン閣下)	Takashi Kogure (Demon Kakka)	1	2021/04/04	a39ef06d-7c13-773d-5ad1-37d8df06f016	日本国	Japan
片岡寛之 (六代目 片岡愛之助)	Hiroyuki Kataoka (Kataoka Ainosuke VI)	1	2021/05/09	148b471d-f699-5479-563f-84e87805022e	日本国	Japan
陣内智則	Tomonori Jinnai	1	2021/06/05	2d579e2d-c0d3-00c0-3924-9ba335f82c1b	日本国	Japan
有田哲平 (くりぃむしちゅー)	Teppei Arita (CREAM STEW)	1	2021/06/23	34b29658-96b9-4122-d039-8c4eb1a8c69b	日本国	Japan
上田晋也 (くりぃむしちゅー)	Shinya Ueda (CREAM STEW)	1	2021/06/23	34b29658-96b9-4122-d039-8c4eb1a8c69b	日本国	Japan
イーロン・リーヴ・マスク	Elon Reeve Musk	1	2021/02/06	d772e1a8-c358-deec-ebe2-4c14015ac071	アメリカ合衆国/カナダ/南アフリカ共和国	United States of America/Canada/Republic of South Africa
藤森慎吾 (オリエンタルラジオ)	Shingo Fujimori (ORIENTAL RADIO)	1	2022/01/21	37f8752c-f34d-7539-9a5e-5e224d90bfe5	日本国	Japan
曽山一壽	Kazutoshi Soyama	1	2022/01/26	a23d8b70-7a90-b47d-b11c-e4c9d18d46bc	日本国	Japan
石原慎太郎	Shintaro Ishihara	1	2022/02/14	bbef771b-8c4f-3a0b-a304-b9b5c29d325c	日本国	Japan
杉本高文 (明石家さんま)	Takafumi Sugimoto (Sanma Akashiya)	1	2022/02/16	6fdca569-536f-20e4-bb07-1e77c3254b26	日本国	Japan
中島美雪 (中島みゆき)	Miyuki Nakajima	1	2022/03/03	6c325116-7fe6-b664-c633-14e7079d0946	日本国	Japan
松本人志 (ダウンタウン)	Hitoshi Matsumoto (DOWNTOWN)	1	2020/11/17	708aba37-9d0b-d247-9aad-76694ecfdad7	日本国	Japan
加根伊月 (夏井いつき)	Itsuki Kane (Itsuki Natsui)	1	2021/04/20	58b71f12-ff6c-23cb-820f-d263bc0122a9	日本国	Japan
