(Update 2022/09/20) 開始日 start date	年度 Fiscal year	学年 Grade	Grade	夢数 Dreams	夢日数 Days to dream	原文文字数 Word count in the original text	物語文字数 Word count in story	良夢数 Good dream	悪夢数 Nightmare	月曜日の夢数 Monday dreams	火曜日の夢数 Tuesday dreams	水曜日の夢数 Wednesday dreams	木曜日の夢数 Thursday dreams	金曜日の夢数 Friday dreams	土曜日の夢数 Saturday dreams	日曜日の夢数 Sunday dreams	月曜日の夢数割合 Monday dreams %	火曜日の夢数割合 Tuesday dreams %	水曜日の夢数割合 Wednesday dreams %	木曜日の夢数割合 Thursday dreams %	金曜日の夢数割合 Friday dreams %	土曜日の夢数割合 Saturday dreams %	日曜日の夢数割合 Sunday dreams %	曜日ごとの夢数の平均値 Day-of-week average	曜日ごとの夢数の分散 Day-of-week variance	曜日ごとの夢数の標準偏差 Day-of-week standard deviation	曜日ごとの夢数の変動係数 Day-of-week coefficient of variation	月曜日の偏差値 Monday Deviation	火曜日の偏差値 Tuesday Deviation	水曜日の偏差値 Wednesday Deviation	木曜日の偏差値 Thursday Deviation	金曜日の偏差値 Friday Deviation	土曜日の偏差値 Saturday Deviation	日曜日の偏差値 Sunday Deviation	4月の夢数 April dreams	5月の夢数 May dreams	6月の夢数 June dreams	7月の夢数 July dreams	8月の夢数 August dreams	9月の夢数 September dreams	10月の夢数 October dreams	11月の夢数 November dreams	12月の夢数 December dreams	1月の夢数 January dreams	2月の夢数 February dreams	3月の夢数 March dreams	4月の夢数割合	5月の夢数割合	6月の夢数割合	7月の夢数割合	8月の夢数割合	9月の夢数割合	10月の夢数割合	11月の夢数割合	12月の夢数割合	1月の夢数割合	2月の夢数割合	3月の夢数割合	月ごとの夢数の平均値 Months average	月ごとの夢数の分散 Months variance	月ごとの夢数の標準偏差 Months standard deviation	月ごとの夢数の変動係数 Months coefficient of variation	4月の偏差値 April Deviation	5月の偏差値 Deviation	6月の偏差値 Deviation	7月の偏差値 Deviation	8月の偏差値 Deviation	9月の偏差値 Deviation	10月の偏差値 Deviation	11月の偏差値 Deviation	12月の偏差値 Deviation	1月の偏差値 Deviation	2月の偏差値 Deviation	3月の偏差値 Deviation	音楽夢数 Musical dreams	夢数/1年(365日)	平均原文文字数 Average word count in the original text	平均物語文字数 Average word count in story	平均原文文字数(四捨五入) Average word count in the original text (rounding)	平均物語文字数(四捨五入) Average word count in story (rounding)	文字数の増加率	1年の割合	ポケモン関連の夢数 Pokémon-related dreams	1夢あたりのポケモン関連の夢数(%) Pokémon-related dreams per dream (%)	実家の夢数	1夢あたりの実家の夢数	1夢あたりのポケモン関連の夢数 Pokémon-related dreams per dream	生物が登場する夢数 Dreams in which animals appear	生物が登場する確率 Probability of animal appearing	キャラクター（架空の人物）が登場する確率 Probability of fictitious people appearing	キャラが登場する夢数	登場人数(実在人物)	1夢あたりの登場人数(実在人物)
2007/04/01	2007	小学3年生	3rd grade of elementary school	3	3	40	48	1	0	0	0	0	0	2	1	0	0.00%	0.00%	0.00%	0.00%	66.67%	33.33%	0.00%	0.4285714286	0.5306122449	0.7284313591	1.699673171	44.11651595	44.11651595	44.11651595	44.11651595	71.57277487	57.84464541	44.11651595	1	2	0	0	0	0	0	0	0	0	0	0	33.33%	66.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25	0.3541666667	0.5951190357	2.380476143	62.60252076	79.40588176	45.79915975	45.79915975	45.79915975	45.79915975	45.79915975	45.79915975	45.79915975	45.79915975	45.79915975	45.79915975	0	0.82%	13.33333333	16	13	16	120.00%	0.82%	1	33.33%	0	0.00%	0.3333333333	1	0.3333333333	0.3333333333	1	0	0
2009/04/01	2009	小学5年生	5th grade of elementary school	1	1	104	144	1	0	0	0	1	0	0	0	0	0.00%	0.00%	100.00%	0.00%	0.00%	0.00%	0.00%	0.1428571429	0.1224489796	0.3499271061	2.449489743	45.9175171	45.9175171	74.49489743	45.9175171	45.9175171	45.9175171	45.9175171	0	0	1	0	0	0	0	0	0	0	0	0	0.00%	0.00%	100.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08333333333	0.07638888889	0.2763853992	3.31662479	46.98488655	46.98488655	83.1662479	46.98488655	46.98488655	46.98488655	46.98488655	46.98488655	46.98488655	46.98488655	46.98488655	46.98488655	0	0.27%	104	144	104	144	138.46%	0.27%	0	0.00%	0	0.00%	0	0	0	1	1	1	1
2013/04/01	2013	中学3年生	3rd grade of junior high school	6	6	439	472	1	0	0	0	0	2	1	1	2	0.00%	0.00%	0.00%	33.33%	16.67%	16.67%	33.33%	0.8571428571	0.693877551	0.8329931278	0.9718253158	39.71008489	39.71008489	39.71008489	63.71988681	51.71498585	51.71498585	63.71988681	0	2	0	2	1	0	0	0	1	0	0	0	0.00%	33.33%	0.00%	33.33%	16.67%	0.00%	0.00%	0.00%	16.67%	0.00%	0.00%	0.00%	0.5	0.5833333333	0.7637626158	1.527525232	43.45346329	69.63961012	43.45346329	69.63961012	56.54653671	43.45346329	43.45346329	43.45346329	56.54653671	43.45346329	43.45346329	43.45346329	0	1.64%	73.16666667	78.66666667	73	79	107.52%	1.64%	0	0.00%	1	16.67%	0	0	0	0	0	8	1.333333333
2014/04/01	2014	高校1年生	1st grade of high school	9	9	475	334	2	5	1	2	0	1	2	0	3	11.11%	22.22%	0.00%	11.11%	22.22%	0.00%	33.33%	1.285714286	1.06122449	1.030157507	0.8012336168	47.22649902	56.93375245	37.51924558	47.22649902	56.93375245	37.51924558	66.64100589	2	1	1	0	1	0	0	0	1	0	1	2	22.22%	11.11%	11.11%	0.00%	11.11%	0.00%	0.00%	0.00%	11.11%	0.00%	11.11%	22.22%	0.75	0.5208333333	0.7216878365	0.9622504486	67.32050808	53.46410162	53.46410162	39.60769515	53.46410162	39.60769515	39.60769515	39.60769515	53.46410162	39.60769515	53.46410162	67.32050808	0	2.47%	52.77777778	37.11111111	53	37	70.32%	2.47%	0	0.00%	0	0.00%	0	0	0	0	0	8	0.8888888889
2015/04/01	2015	高校2年生	2nd grade of high school	10	9	1114	821	6	3	3	2	0	2	0	1	2	30.00%	20.00%	0.00%	20.00%	0.00%	10.00%	20.00%	1.428571429	1.102040816	1.049781318	0.7348469228	64.96910398	55.44331054	36.39172365	55.44331054	36.39172365	45.9175171	55.44331054	0	3	1	1	0	0	0	0	1	3	0	1	0.00%	30.00%	10.00%	10.00%	0.00%	0.00%	0.00%	0.00%	10.00%	30.00%	0.00%	10.00%	0.8333333333	1.138888889	1.067187373	1.280624847	42.19131191	70.30258905	51.56173762	51.56173762	42.19131191	42.19131191	42.19131191	42.19131191	51.56173762	70.30258905	42.19131191	51.56173762	0	2.74%	111.4	82.1	111	82	73.70%	2.47%	0	0.00%	1	10.00%	0	0	0	0.1	1	10	1
2016/04/01	2016	高校3年生	3rd grade of high school	79	53	9780	11450	5	13	8	9	9	12	14	13	14	10.13%	11.39%	11.39%	15.19%	17.72%	16.46%	17.72%	11.28571429	5.632653061	2.373321104	0.210294275	36.1556269	40.36913175	40.36913175	53.00964633	61.43665604	57.22315119	61.43665604	1	1	2	4	13	2	1	0	16	24	8	7	1.27%	1.27%	2.53%	5.06%	16.46%	2.53%	1.27%	0.00%	20.25%	30.38%	10.13%	8.86%	6.583333333	51.74305556	7.193264597	1.092647787	42.23810933	42.23810933	43.62829871	46.40867745	58.92038181	43.62829871	42.23810933	40.84791996	63.09094993	74.21246491	51.96943495	50.57924557	0	21.64%	123.7974684	144.9367089	124	145	117.08%	14.52%	7	8.86%	6	7.59%	0.08860759494	7	0.08860759494	0.1139240506	9	84	1.063291139
2017/04/01	2017	大学1年生	1st grade of college	33	30	1793	1489	9	4	4	4	4	3	5	6	7	12.12%	12.12%	12.12%	9.09%	15.15%	18.18%	21.21%	4.714285714	1.632653061	1.27775313	0.2710385427	44.40983006	44.40983006	44.40983006	36.58359214	52.23606798	60.0623059	67.88854382	5	6	3	3	1	4	3	2	1	1	2	2	15.15%	18.18%	9.09%	9.09%	3.03%	12.12%	9.09%	6.06%	3.03%	3.03%	6.06%	6.06%	2.75	2.354166667	1.534329387	0.5579379588	64.66438706	71.18189242	51.62937634	51.62937634	38.59436562	58.1468817	51.62937634	45.11187098	38.59436562	38.59436562	45.11187098	45.11187098	0	9.04%	54.33333333	45.12121212	54	45	83.05%	8.22%	0	0.00%	0	0.00%	0	1	0.0303030303	0	0	10	0.303030303
2018/04/01	2018	大学2年生	2nd grade of college	117	88	17216	24747	6	5	7	8	19	26	12	20	25	5.98%	6.84%	16.24%	22.22%	10.26%	17.09%	21.37%	16.71428571	51.91836735	7.205440122	0.4310947081	36.51812304	37.90596332	53.17220634	62.88708827	43.45732442	54.56004662	61.49924799	5	4	4	1	4	4	25	27	9	7	13	14	4.27%	3.42%	3.42%	0.85%	3.42%	3.42%	21.37%	23.08%	7.69%	5.98%	11.11%	11.97%	9.75	66.52083333	8.156030489	0.8365159476	44.17608847	42.95000183	42.95000183	39.27174192	42.95000183	42.95000183	68.69782123	71.1499945	49.08043502	46.62826175	53.98478157	55.21086821	9	32.05%	147.1452991	211.5128205	147	212	143.74%	24.11%	7	5.98%	4	3.42%	0.05982905983	8	0.06837606838	0.1196581197	14	120	1.025641026
2019/04/01	2019	大学3年生	3rd grade of college	124	96	7820	10747	6	5	9	13	15	22	12	26	27	7.26%	10.48%	12.10%	17.74%	9.68%	20.97%	21.77%	17.71428571	44.48979592	6.67006716	0.3765360494	36.93523543	42.93217654	45.9306471	56.42529405	41.43294126	62.42223517	63.92147045	21	15	14	11	21	10	11	1	3	3	2	12	16.94%	12.10%	11.29%	8.87%	16.94%	8.06%	8.87%	0.81%	2.42%	2.42%	1.61%	9.68%	10.33333333	44.22222222	6.649979114	0.6435463659	66.04015063	57.0175659	55.51380178	51.00250941	66.04015063	49.49874529	51.00250941	35.9648682	38.97239644	38.97239644	37.46863232	52.50627354	5	33.97%	63.06451613	86.66935484	63	87	137.43%	26.30%	7	5.65%	8	6.45%	0.0564516129	5	0.04032258065	0.03225806452	4	96	0.7741935484
2020/04/01	2020	大学4年生	4th grade of college	450	240	50034	56887	1	4	62	64	54	61	69	68	72	13.78%	14.22%	12.00%	13.56%	15.33%	15.11%	16.00%	64.28571429	31.06122449	5.573259772	0.08669515201	45.89878387	49.48734798	31.54452743	44.10450182	58.45875826	56.66447621	63.84160443	29	10	12	19	36	49	59	71	43	51	36	35	6.44%	2.22%	2.67%	4.22%	8.00%	10.89%	13.11%	15.78%	9.56%	11.33%	8.00%	7.78%	37.5	313.4166667	17.70357779	0.4720954078	45.19871062	34.46641672	35.59613187	39.55013488	49.15271364	56.4958621	62.14443784	68.92272872	53.10671666	57.62557725	49.15271364	48.58785607	16	123.29%	111.1866667	126.4155556	111	126	113.70%	65.75%	18	4.00%	32	7.11%	0.04	21	0.04666666667	0.07333333333	33	439	0.9755555556
2021/04/01	2021	入社1年目	1st grade of company	547	268	124576	124576	0	0	74	73	77	71	77	87	88	13.53%	13.35%	14.08%	12.98%	14.08%	15.90%	16.09%	78.14285714	38.97959184	6.243363824	0.07989679482	43.36438295	41.76268228	48.16948495	38.55928095	48.16948495	64.18649162	65.78819229	49	42	31	34	49	74	42	43	30	40	46	67	8.96%	7.68%	5.67%	6.22%	8.96%	13.53%	7.68%	7.86%	5.48%	7.31%	8.41%	12.25%	45.58333333	161.9097222	12.72437512	0.2791453409	52.68513513	47.18388267	38.53905736	40.89673699	52.68513513	72.33246536	47.18388267	47.96977588	37.75316416	45.61209625	50.3274555	66.8312129	12	149.86%	227.7440585	227.7440585	228	228	100.00%	73.42%	36	6.58%	61	11.15%	0.06581352834	33	0.06032906764	0.09140767824	50	673	1.230347349
2022/04/01	2022	入社2年目	2nd grade of company	288	149	47263	47263	0	0	44	42	43	34	45	40	40	15.28%	14.58%	14.93%	11.81%	15.63%	13.89%	13.89%	41.14285714	11.55102041	3.398679215	0.08260678648	58.40662703	52.52198811	55.46430757	28.98343241	61.3489465	46.63734919	46.63734919	63	49	55	35	50	36	0	0	0	0	0	0	21.88%	17.01%	19.10%	12.15%	17.36%	12.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	24	625.3333333	25.00666578	1.041944407	65.59584166	59.9973344	62.39669466	54.39882714	60.39722778	54.79872051	40.40255898	40.40255898	40.40255898	40.40255898	40.40255898	40.40255898	0	78.90%	164.1076389	164.1076389	164	164	100.00%	40.82%	19	6.60%	30	10.42%	0.06597222222	18	0.0625	0.07291666667	21	299	1.038194444
		合計 (最近の年度を除く)	Sum total (excluding recent fiscal years)	1379	803	213391	231715	38	39	168	175	179	200	194	223	240	12.18%	12.69%	12.98%	14.50%	14.07%	16.17%	17.40%	197	598.8571429	24.47155783	0.1242211058	38.14950801	41.0099716	42.64452222	51.22591296	48.77408704	60.62457902	67.57141915	113	86	69	75	126	143	141	144	105	129	108	140	8.19%	6.24%	5.00%	5.44%	9.14%	10.37%	10.22%	10.44%	7.61%	9.35%	7.83%	10.15%	114.9166667	662.7430556	25.74379645	0.2240214339	49.25548407	38.76752047	32.16398783	34.49464641	54.30524432	60.90877695	60.13189076	61.29722005	46.1479393	55.4705736	47.31326858	59.74344766	42	377.81%	154.7432922	168.031182	155	168	108.59%	220.00%	76	5.51%	113	8.19%	0.05511240029	76	0.05511240029	0.08194343727	113	1449	1.050761421
		合計	Sum total	1667	952	260654	278978	38	39	212	217	222	234	239	263	280	12.72%	13.02%	13.32%	14.04%	14.34%	15.78%	16.80%	238.1428571	539.8367347	23.2343869	0.097564912	38.74820444	40.9001872	43.05216995	48.21692857	50.36891133	60.69842857	68.01516994	176	135	124	110	176	179	141	144	105	129	108	140	10.56%	8.10%	7.44%	6.60%	10.56%	10.74%	8.46%	8.64%	6.30%	7.74%	6.48%	8.40%	138.9166667	638.9097222	25.27666359	0.1819555867	64.67097633	48.45048115	44.09864098	38.55993531	64.67097633	65.85784184	50.82421215	52.01107765	36.58182614	46.07675015	37.76869164	50.42859032	42	456.71%	156.3611278	167.3533293	156	167	107.03%	260.82%	95	5.70%	143	8.58%	0.05698860228	94	0.05638872226	0.08038392322	134	1748	1.048590282
